Region,House,Sigil,Blazon,Seat,Words,Origin,Notes,Ancestral weapon
Riverlands,House Harroway of Harrenhal,https://awoiaf.westeros.org/index.php/File:House_Harroway.svg,"Per bend sinister orange and black rayonne, a castle countercharged",Harrenhal,,,extinct 44 AC,
Crownlands,House Harte,https://awoiaf.westeros.org/index.php/File:House_Harte.svg,Three red hart's heads caboshed on a white bend on vair,,,,,
Reach,House Hastwyck,https://awoiaf.westeros.org/index.php/File:House_Hastwyck.svg,Barry olive and ivory,,None So Dutiful,,,
Stormlands,House Hasty,https://awoiaf.westeros.org/index.php/File:House_Hasty.svg,A white bend cotised on purple,,,,,
Riverlands,House Hawick of Saltpans,https://awoiaf.westeros.org/index.php/File:Hawick.png,White sea birds strewn on a blue field,Saltpans,,,,
Westerlands,House Hawthorne,https://awoiaf.westeros.org/index.php/File:House_Hawthorne.svg,"A ring of black thorns and a ring of pink flowers, interlocked, on green",,,,,
Crownlands,House Hayford of Hayford,https://awoiaf.westeros.org/index.php/File:House_Hayford.svg,"Green fretty over gold, a green pale wavy",Hayford,,,,
Riverlands,House Heddle,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Stormlands,House Herston,https://awoiaf.westeros.org/index.php/File:House_Herston.svg,"A yellow rooster's head with red comb, within a white escutcheon, on red",,,,,
Vale of Arryn,House Hersy of Newkeep,https://awoiaf.westeros.org/index.php/File:House_Hersy.svg,A white winged chalice on pink,Newkeep,,,,
Westerlands,House Hetherspoon,https://awoiaf.westeros.org/index.php/File:House_Hetherspoon.svg,An oak spoon within a white cartouche on orange and black lozengy,,,,,
Reach (Shield Islands),House Hewett of Oakenshield,https://awoiaf.westeros.org/index.php/File:House_Hewett.svg,"An oaken escutcheon studded with iron, a field bendy of undulating blue and white",Oakenshield Castle,,,,
Reach,House Hightower of the Hightower,https://awoiaf.westeros.org/index.php/File:House_Hightower.svg,A white tower crowned with flames on smoke grey,Hightower,We Light the Way,Uthor of the High Tower,,Vigilance (lost)
Iron Islands (origin); Riverlands,House Hoare of Orkmont,https://awoiaf.westeros.org/index.php/File:House_Hoare.svg,"Per saltire: two heavy silver chains crossing between (clockwise) a gold longship on black , a dark green pine on white, a cluster of red grapes on gold, and a black raven flying in a blue sky",Orkmont & Hoare Castle & Fairmarket & Harrenhall,,Grey King,extinct 2 BC,
Crownlands,House Hogg of Sow's Horn,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Sow's Horn,,,,
Crownlands,House Hollard,https://awoiaf.westeros.org/index.php/File:House_Hollard.svg,"Barry red and pink, three golden crowns on a blue chief",,,,extinct 300 AC,
North,House Holt (north),https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Dorne,House Holt (Dorne),https://awoiaf.westeros.org/index.php/File:None_(Dorne).svg,Unknown,,,,probably extinct,
Riverlands,House Hook,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,extinct,
North,House Hornwood of Hornwood,https://awoiaf.westeros.org/index.php/File:House_Hornwood.svg,A brown bullmoose with black antlers on orange,Hornwood,Righteous in Wrath,,,
Stormlands,House Horpe,https://awoiaf.westeros.org/index.php/File:House_Horpe.svg,"Per chevron engrailed grey and bone, 3 deaths head moths countercharged",,,,,
Dorne,House Hull,https://awoiaf.westeros.org/index.php/File:None_(Dorne).svg,Unknown,,,,probably extinct,
Iron Islands,House Humble,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Reach,House Hunt,https://awoiaf.westeros.org/index.php/File:Hunt.png,"A brown deer, bound and slung on a pole, on white",,,,,
Vale of Arryn,House Hunter of Longbow Hall,https://awoiaf.westeros.org/index.php/File:House_Hunter.svg,"Five silver arrows, fanned, on brown",Longbow Hall,,,,
Reach,House Hutcheson,https://awoiaf.westeros.org/index.php/File:House_Hutcheson.svg,"Two red bendlets on gold, a red hand below pointing to a red sun above",,,,,
Reach,House Inchfield,https://awoiaf.westeros.org/index.php/File:House_Inchfield.svg,"A bend sinister, checked black and white, on pale grey",,,,,
Iron Islands,House Ironmaker,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
North,House Ironsmith,https://awoiaf.westeros.org/index.php/File:House_Ironsmith.svg,"A black sword upright between four black horseshoes on gold, a grey-green border",,,,,
Westerlands,House Jast,https://awoiaf.westeros.org/index.php/File:House_Jast.svg,"An inverted pall between 3 lion's heads, yellow on black",,,,,
Dorne,House Jordayne of the Tor,https://awoiaf.westeros.org/index.php/File:House_Jordayne.svg,A golden quill on checkered dark and light green,Tor,Let It Be Written,,,
Riverlands,House Justman,https://awoiaf.westeros.org/index.php/File:House_Justman.svg,"Golden scales on white, a double tressure blue",,,Benedict I Justman,extinct some 300 years after Andal Invasion,
North,House Karstark of Karhold,https://awoiaf.westeros.org/index.php/File:House_Karstark.svg,A white sunburst on black,Karhold,The Sun of Winter,Karlon Stark,,
Riverlands,House Keath,https://awoiaf.westeros.org/index.php/File:House_Keath.svg,"Quarterly of nine: a white fish on grey, a golden fish hook on white",,,,,
Stormlands,House Kellington,https://awoiaf.westeros.org/index.php/File:House_Kellington.svg,"A black book bound in bronze, locked, upon a pale blue field",,,,,
Iron Islands,House Kenning of Harlaw,https://awoiaf.westeros.org/index.php/File:House_Kenning_(Harlaw).svg,"The storm god's cloudly hand, pale grey, yellow lightning flashing from the fingertips, on black",Harlaw,,Grey King,,
Westerlands,House Kenning of Kayce,https://awoiaf.westeros.org/index.php/File:House_Kenning_(Kayce).svg,Four sunbursts countercharged on quartered orange and black,Kayce,,Herrock Kenning,,
Crownlands,House Kettleblack,https://awoiaf.westeros.org/index.php/File:House_Kettleblack.svg,"A black kettle on red, within a black orle",,,,,
Reach,House Kidwell of Ivy Hall,https://awoiaf.westeros.org/index.php/File:House_Kidwell.svg,Pale green ivy bendy on black masonry,Ivy Hall,,,,
North (Mountain Clans),House Knott,https://awoiaf.westeros.org/index.php/File:House_Knott.svg,A brown fret on white,,,,,
Westerlands,House Kyndall,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Dorne,House Ladybright,https://awoiaf.westeros.org/index.php/File:None_(Dorne).svg,Unknown,,,,,
Dorne,House Lake (Dorne),https://awoiaf.westeros.org/index.php/File:None_(Dorne).svg,Unknown,,,,probably extinct,
North,House Lake (north),https://awoiaf.westeros.org/index.php/File:House_Lake_(North).svg,"7 pommes, 2-2-2-1, green on brown",,,,,
Crownlands,House Langward,https://awoiaf.westeros.org/index.php/File:House_Langward.svg,Per fess undy: A crown of white stars on burgundy above black,,,,,
Westerlands,House Lannett,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,Kin of Lannister,,
Westerlands,House Lannister,https://awoiaf.westeros.org/index.php/File:House_Lannister.svg,"A roaring lion, gold on crimson",Casterly Rock,Hear Me Roar!,Lann the Clever,,Brightroar (lost)
Riverlands,House Lannister of Darry,https://awoiaf.westeros.org/index.php/File:House_Lannister_(Darry).svg,Quartered: the lion of Lannister with the Darry plowman,Darry,,Lancel Lannister,,
Westerlands,House Lannister of Lannisport,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Lannisport,,Cadet of Lannister,,
Westerlands,House Lanny,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,Kin of Lannister,,
Westerlands,House Lantell,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,Kin of Lannister,,
Unknown,House Leek,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Westerlands,House Lefford of the Golden Tooth,https://awoiaf.westeros.org/index.php/File:House_Lefford.svg,"A golden inverted pile on sky-blue, a yellow sun in the first",Golden Tooth,,,,
Reach,House Leygood,https://awoiaf.westeros.org/index.php/File:House_Leygood.svg,Three black thunderbolts on orange,,,,,
North (Mountain Clans),House Liddle,https://awoiaf.westeros.org/index.php/File:House_Liddle.svg,"Per pale white and green, a fir tree line between, three brown pinecones on the white",,,,,
North,House Lightfoot,https://awoiaf.westeros.org/index.php/File:House_Lightfoot.svg,"A line of white footprints in bend sinister, on dark brown",,,,,
Vale of Arryn,House Lipps,https://awoiaf.westeros.org/index.php/File:House_Lipps.svg,Two large pink lips on a dark blue field,,,,,
North,House Locke of Oldcastle,https://awoiaf.westeros.org/index.php/File:House_Locke.svg,Bronze crossed keys on a white pale on purple,Oldcastle,,,,
Riverlands,House Lolliston,https://awoiaf.westeros.org/index.php/File:House_Lolliston.svg,Three oaken barrels on white,,,,,
North,House Long,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Vale of Arryn (Sistermen),House Longthorpe of Longsister,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Longsister,,,,
Crownlands,House Longwaters,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,Ser Longwaters,,
Stormlands,House Lonmouth,https://awoiaf.westeros.org/index.php/File:House_Lonmouth.svg,"Quartered of six: red lips strewn on yellow, yellow skulls strewn on black",,The Choice Is Yours,,,
Westerlands,House Lorch,https://awoiaf.westeros.org/index.php/File:House_Lorch.svg,"A black manticore on white, beneath a crimson chief with three gold coins",,,,,
Riverlands,House Lothston of Harrenhal,https://awoiaf.westeros.org/index.php/File:House_Lothston.svg,A black bat on per bend silver and gold,Harrenhal,,Lucas Lothston,extinct after 212 AC,
Reach,House Lowther,https://awoiaf.westeros.org/index.php/File:House_Lowther.svg,A silver dolphin on a blue-green field,,,,,
Reach,House Lyberr,https://awoiaf.westeros.org/index.php/File:House_Lyberr.svg,"Per bend sinister: a grey cat's face on black, a brown jug on white",,,,,
Riverlands,House Lychester,https://awoiaf.westeros.org/index.php/File:House_Lychester.svg,"Orange and white gyronny, a black talon",Castle Lychester,,,,
Westerlands,House Lydden of Deep Den,https://awoiaf.westeros.org/index.php/File:House_Lydden.svg,A white badger on per pale green and brown,Deep Den,,,,
Vale of Arryn,House Lynderly of Snakewood,https://awoiaf.westeros.org/index.php/File:House_Lynderly.svg,A black field strewn with wriggling green serpents,Snakewood,,,,
North (Skagosi Clans),House Magnar of Kingshouse,https://awoiaf.westeros.org/index.php/File:House_Magnar.svg,"A green lobster on white, its claws holding a black harpoon",Kingshouse,,,,
Crownlands,House Mallery,https://awoiaf.westeros.org/index.php/File:House_Mallery.svg,Six white mullets 3-2-1 on violet,,,,,
Riverlands,House Mallister of Seagard,https://awoiaf.westeros.org/index.php/File:House_Mallister.svg,A silver eagle displayed on indigo,Seagard,Above the Rest,,,
North; Reach (formerly),House Manderly of White Harbor,https://awoiaf.westeros.org/index.php/File:House_Manderly.svg,"A white merman with dark green hair, beard and tail, carrying a black trident, on a blue-green field",New Castle,,,,
Unknown,House Mandrake,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Crownlands,House Manning,https://awoiaf.westeros.org/index.php/File:House_Manning.svg,A red sea lion between two black pallets on white,,,,,
Dorne,House Manwoody of Kingsgrave,https://awoiaf.westeros.org/index.php/File:House_Manwoody.svg,A white skull crowned with gold on black,Kingsgrave,,,,
Westerlands,House Marbrand of Ashemark,https://awoiaf.westeros.org/index.php/File:House_Marbrand.svg,"A burning tree, orange on smoke",Ashemark,Burning Bright,,,
North,House Marsh,https://awoiaf.westeros.org/index.php/File:House_Marsh.svg,"10 frogs, 4-3-2-1, green on yellow",,,,,
Dorne,House Martell of Sunspear,https://awoiaf.westeros.org/index.php/File:House_Martell.svg,A red sun pierced by a golden spear on orange,Sandship & Sunspear,"Unbowed, Unbent, Unbroken",Morgan Martell,,
Crownlands,House Massey of Stonedance,https://awoiaf.westeros.org/index.php/File:House_Massey.svg,"A triple spiral; red, green and blue, on white",Stonedance,,Maldon Massey,,
Reach,House Meadows of Grassy Vale,https://awoiaf.westeros.org/index.php/File:House_Meadows.svg,A border of flowers of many colours and varieties on green,Grassfield Keep,,,,
Vale of Arryn,House Melcolm of Old Anchor,https://awoiaf.westeros.org/index.php/File:House_Melcolm.svg,A rusty anchor on turquoise beneath yellow chief with three blue plates,Old Anchor,,,,
Iron Islands,House Merlyn of Pebbleton,https://awoiaf.westeros.org/index.php/File:Merlyn.png,"Twining waterspouts, green on white",Pebbleton Tower,,Grey King,,
Reach,House Merryweather of Longtable,https://awoiaf.westeros.org/index.php/File:House_Merryweather.svg,"A golden horn of plenty spilling out apples, carrots, plums, onions, leeks, turnips, and fruits of many colors on a white field bordered in gold",Longtable,Behold Our Bounty,,,
Stormlands,House Mertyns of Mistwood,https://awoiaf.westeros.org/index.php/File:House_Mertyns.svg,A white great horned owl on grey,Mistwood,,,,
Reach,House Middlebury,https://awoiaf.westeros.org/index.php/File:House_Middlebury.svg,"Quarterly, a black saltire on yellow, green and white diamonds",,,,,
North,House Mollen,https://awoiaf.westeros.org/index.php/File:House_Mollen.svg,"A pine tree covered with snow in a pale green pile, on white",,,,,
Vale of Arryn,House Moore,https://awoiaf.westeros.org/index.php/File:House_Moore.svg,"Three bronze spearheads on white, a bronze border embattled",,,,,
Riverlands,House Mooton of Maidenpool,https://awoiaf.westeros.org/index.php/File:House_Mooton.svg,"A red salmon on white, a gold tressure",Maidenpool,Wisdom and Strength,,,
Westerlands,House Moreland,https://awoiaf.westeros.org/index.php/File:House_Moreland.svg,Per pale barry: russet and green,,,Pate the Plowman,,
North,House Mormont of Bear Island,https://awoiaf.westeros.org/index.php/File:House_Mormont.svg,A black bear in a green wood,Mormont Keep,Here We Stand,,,Longclaw (extant)
Stormlands,House Morrigen of Crow's Nest,https://awoiaf.westeros.org/index.php/File:House_Morrigen.svg,A black crow in flight on storm-green,Crow's Nest,,,,
North,House Moss,https://awoiaf.westeros.org/index.php/File:House_Moss.svg,A bend orange on vairy grey and green,,,,,
Riverlands,House Mudd of Oldstones,https://awoiaf.westeros.org/index.php/File:House_Mudd.svg,A golden crown studded with emeralds on a red-brown field,Oldstones,,,,
Reach,House Mullendore of Uplands,https://awoiaf.westeros.org/index.php/File:House_Mullendore.svg,Black-and-orange butterflies on white,Uplands,,,,
Stormlands,House Musgood,https://awoiaf.westeros.org/index.php/File:House_Musgood.svg,"Quarterly: A golden pavillion on blue, a green laurel crown on white",,,,,
Westerlands,House Myatt,https://awoiaf.westeros.org/index.php/File:House_Myatt.svg,"A spotted tree cat, yellow and black, on mud brown",,,,,
Iron Islands,House Myre of Harlaw,https://awoiaf.westeros.org/index.php/File:House_Myre.svg,"10 nooses, 4-3-2-1, black on white with a border of blood",Harlaw,,Grey King,,
Riverlands,House Nayland of Hag's Mire,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Hag's Mire,,,,
Iron Islands,House Netley,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Reach,House Norcross,https://awoiaf.westeros.org/index.php/File:House_Norcross.svg,"A cross embattled, black on white",,,,,
North (Mountain Clans),House Norrey,https://awoiaf.westeros.org/index.php/File:House_Norrey.svg,"Six green thistles, 3-2-1, on yellow",,,,,
Reach,House Norridge,https://awoiaf.westeros.org/index.php/File:House_Norridge.svg,A flight of flaming arrows rising bendwise on a blue field,,,,,
Iron Islands (Shield Islands),House Nute of Oakenshield,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Oakenshield,,Nute the Barber,,
Riverlands,House Nutt,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Reach,House Oakheart of Old Oak,https://awoiaf.westeros.org/index.php/File:House_Oakheart.svg,Three green oak leaves on gold,Old Oak,Our Roots Go Deep,John the Oak,,
Reach,House Oldflowers,https://awoiaf.westeros.org/index.php/File:House_Oldflowers.svg,"Ten white hands on green, 4-3-2-1, beneath a red bend sinister",,,,,
Iron Islands,House Orkwood of Orkmont,https://awoiaf.westeros.org/index.php/File:House_Orkwood.svg,Dark green pines strewn closely together on yellow,Orkmont,,Grey King,,
Reach,House Orme,https://awoiaf.westeros.org/index.php/File:House_Orme.svg,"Per fess: three golden harps on black, gold and silver bendy sinister",,,,,
Reach,House Osgrey of Leafy Lake,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Leafy Lake,,Cadet of Osgrey of Standfast,extinct before 210 AC,
Reach,House Osgrey,https://awoiaf.westeros.org/index.php/File:House_Osgrey.svg,"A lion, checkered green and gold, on white",Standfast,,Marshall of the Northmarch,,
North,House Overton,https://awoiaf.westeros.org/index.php/File:House_Overton.svg,A checked silver and gold fess on black,,,,,
Riverlands,House Paege,https://awoiaf.westeros.org/index.php/File:House_Paege.svg,Twining red-and-white snakes on black,,,,,
Westerlands,House Parren,https://awoiaf.westeros.org/index.php/File:House_Parren.svg,"Per saltire: burgundy and white stripes, a black lion's head on gold",,,,extinct after 209 AC,
Westerlands,House Payne,https://awoiaf.westeros.org/index.php/File:House_Payne.svg,"Checkered purple and white, within each square a golden coin",,,,,
Reach,House Peake of Starpike,https://awoiaf.westeros.org/index.php/File:House_Peake.svg,Three black castles on orange,Starpike,,Florys the Fox,,
Stormlands,House Peasebury of Poddingfield,https://awoiaf.westeros.org/index.php/File:House_Peasebury.svg,"A pea pod burst open, green on white, bordered by three rows of green peas",Poddingfield,,,,
North (Crannogmen),House Peat,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Westerlands,House Peckledon,https://awoiaf.westeros.org/index.php/File:House_Peckledon.svg,"Ten mullets, 4-3-2-1, purple on yellow",,Unflinching,,,
Riverlands,House Pemford,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Unknown,House Penny,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Stormlands,House Penrose of Parchments,https://awoiaf.westeros.org/index.php/File:House_Penrose.svg,White crossed quills on russet,Parchments,Set Down Our Deeds,,,
Riverlands,House Perryn,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Riverlands,House Piper of Pinkmaiden,https://awoiaf.westeros.org/index.php/File:House_Piper.svg,"A dancing maiden pink in a swirl of white silk, on blue",Pinkmaiden Castle,Brave and Beautiful,,,
Westerlands,House Plumm,https://awoiaf.westeros.org/index.php/File:House_Plumm.svg,Three purple rondels on gold,,Come Try Me,,,
Reach,House Pommingham,https://awoiaf.westeros.org/index.php/File:House_Pommingham.svg,"A red pomegranate on white, a double tressure red",,,,,
North,House Poole,https://awoiaf.westeros.org/index.php/File:House_Poole.svg,"A blue plate on white, with a grey tressure",,,,,
Unknown,House Potter,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Westerlands,House Prester of Feastfires,https://awoiaf.westeros.org/index.php/File:House_Prester.svg,A red ox on ermine,Feastfires,Tireless,,,
Vale of Arryn,House Pryor of Pebble,https://awoiaf.westeros.org/index.php/File:House_Pryor.svg,"A partial eclipse, black moon over yellow sun, on dusty pink",Pebble,,,,
Crownlands,House Pyle,https://awoiaf.westeros.org/index.php/File:House_Pyle.svg,A grey iron greathelm on white,,,,,
Crownlands (Crackclaw Point),House Pyne,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Riverlands,House Qoherys of Harrenhal,https://awoiaf.westeros.org/index.php/File:House_Qoherys.svg,"A flaming saltire, red and yellow, between 4 white skulls, on black",Harrenhal,,Quenton Qoherys,extinct circa 37 AC,
Dorne,House Qorgyle of Sandstone,https://awoiaf.westeros.org/index.php/File:House_Qorgyle.svg,Three black scorpions on red,Sandstone,,,,
North (Crannogmen),House Quagg,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Crownlands,House Rambton,https://awoiaf.westeros.org/index.php/File:House_Rambton.svg,A white ram's head with golden horns on red,,,,,
North,House Redbeard,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,Gerrick Kingsblood,,
Reach,House Redding,https://awoiaf.westeros.org/index.php/File:House_Redding.svg,"A golden flagon on burgundy, a border of gold and white checks",,,,,
Vale of Arryn,House Redfort of Redfort,https://awoiaf.westeros.org/index.php/File:House_Redfort.svg,A red castle on a white field within a red embattled border,Redfort,As Strong as Stone,,,
Reach,House Redwyne of the Arbor,https://awoiaf.westeros.org/index.php/File:House_Redwyne.svg,A burgundy grape cluster on blue,Arbor,,Gilbert of the Vines,,
North (Crannogmen),House Reed of Greywater Watch,https://awoiaf.westeros.org/index.php/File:House_Reed.svg,A black lizard-lion on grey-green,Greywater Watch,,,,
Westerlands,House Reyne of Castamere,https://awoiaf.westeros.org/index.php/File:House_Reyne.svg,"A red lion rampant regardant with a forked tail, armed and langued gold, on silver",Castamere,,,extinct 261 AC,
Reach,House Rhysling,https://awoiaf.westeros.org/index.php/File:House_Rhysling.svg,"An oaken door banded with iron, in a grey stone doorway, on black masonry",,,,,
Reach,House Risley of Risley Glade,https://awoiaf.westeros.org/index.php/File:House_Risley.svg,"A black knight on a black rearing horse on white, bearing a golden lance and a white shield, upon which is seen the above in miniature",Risley Glade,,,,
Stormlands,House Rogers of Amberly,https://awoiaf.westeros.org/index.php/File:House_Rogers.svg,"Nine unicorns around a maze, silver on black",Amberly,,,,
Crownlands,House Rollingford,https://awoiaf.westeros.org/index.php/File:House_Rollingford.svg,"Six roundels fountain, 3-2-1, on grey",,,,,
Riverlands,House Roote of Lord Harroway's Town,https://awoiaf.westeros.org/index.php/File:House_Roote.svg,"A two-headed horse, brown, on a field of wavy green and green",Harroway Tower,,,,
Crownlands,House Rosby of Rosby,https://awoiaf.westeros.org/index.php/File:House_Rosby.svg,Three red chevronels on ermine,Rosby,,,,
Reach,House Rowan of Goldengrove,https://awoiaf.westeros.org/index.php/File:House_Rowan.svg,A golden tree on silver,Goldengrove,,Rowan Gold-Tree,,
Reach,House Roxton of the Ring,https://awoiaf.westeros.org/index.php/File:House_Roxton.svg,"A saltire of interlocked golden rings, upon a sky blue field",Ring,,,,Orphan-Maker (lost)
Vale of Arryn,House Royce,https://awoiaf.westeros.org/index.php/File:House_Royce.svg,"Black iron studs on bronze, bordered with <a href=""/index.php/Runes"" title=""Runes"">runes</a>",Runestone,We Remember,Bronze King,,Lamentation (lost)
Vale of Arryn,House Royce of the Gates of the Moon,https://awoiaf.westeros.org/index.php/File:House_Royce_(Moon).svg,A black portcullis over a white crescent moon on purple bordered with runes on bronze,Gates of the Moon,,Nestor Royce,,
Unknown,House Ruskyn,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Vale of Arryn,House Ruthermont,https://awoiaf.westeros.org/index.php/File:House_Ruthermont.svg,"Five black starfish on a gold pale, on pean",,,,,
Westerlands,House Ruttiger,https://awoiaf.westeros.org/index.php/File:House_Ruttiger.svg,An orange bend engrailed on black,,,,,
North,House Ryder of the Rills,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,Rills,,,possibly extinct,
Riverlands,House Ryger of Willow Wood,https://awoiaf.westeros.org/index.php/File:House_Ryger.svg,"A weeping willow, green on white",Willow Wood,,,,
Crownlands,House Rykker of Duskendale,https://awoiaf.westeros.org/index.php/File:House_Rykker.svg,Two black warhammers crossed on a white saltire on blue,Dun Fort,,,,
North,House Ryswell of the Rills,https://awoiaf.westeros.org/index.php/File:House_Ryswell.svg,"A black horse's head, eyes and mane red, on bronze within a black engrailed border",Rills,,,,
Iron Islands,House Saltcliffe of Saltcliffe,https://awoiaf.westeros.org/index.php/File:House_Saltcliffe.svg,"A nine-headed serpent, black on silver",Saltcliffe,,Grey King,,
Dorne,House Santagar of Spottswood,https://awoiaf.westeros.org/index.php/File:House_Santagar.svg,"Per bend sinister blue and white, a spotted leopard with golden axe",Spottswood,,,,
Westerlands,House Sarsfield of Sarsfield,https://awoiaf.westeros.org/index.php/File:House_Sarsfield.svg,A green arrow on white bend on green,Sarsfield,True to the Mark,,,
Unknown,House Sawyer,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Stormlands,House Seaworth of Cape Wrath,https://awoiaf.westeros.org/index.php/File:House_Seaworth.svg,"A black ship, an onion proper on its sail, on pale grey",Cape Wrath,,Davos Seaworth,,
Stormlands (Marcher Lords),House Selmy of Harvest Hall,https://awoiaf.westeros.org/index.php/File:House_Selmy.svg,Three stalks of yellow wheat on brown,Harvest Hall,,,,
Westerlands,House Serrett of Silverhill,https://awoiaf.westeros.org/index.php/File:House_Serrett.svg,A peacock in his pride on cream,Silverhill,I Have No Rival,,,
Reach (Shield Islands),House Serry of Southshield,https://awoiaf.westeros.org/index.php/File:House_Serry.svg,"A white rose upon a red escutcheon upon white, a red embattled border",Southshield,,,,
Iron Islands,House Sharp,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Riverlands,House Shawney,https://awoiaf.westeros.org/index.php/File:House_Shawney.svg,"Per fess: blue red green above, a white catfish on black below",,,,,
Vale of Arryn,House Shell (Vale),https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,extinct after Andal invasion,
Dorne,House Shell (Dorne),https://awoiaf.westeros.org/index.php/File:None_(Dorne).svg,Unknown,,,,probably extinct,
Iron Islands,House Shepherd,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Reach,House Shermer of Smithyton,https://awoiaf.westeros.org/index.php/File:House_Shermer.svg,"A field of copper nails on blue, a copper border rayonne",Smithyton,,,,
Vale of Arryn,House Shett of Gull Tower,https://awoiaf.westeros.org/index.php/File:House_Shett_(Gull_Tower).svg,"Three golden wings, bendwise, on checkered white and black",Gull Tower,,King of the True Men,,
Vale of Arryn,House Shett of Gulltown,https://awoiaf.westeros.org/index.php/File:House_Shett_(Gulltown).svg,Nine white seagulls on a field of brown,Gulltown,,,,
North,House Slate of Blackpool,https://awoiaf.westeros.org/index.php/File:House_Slate.svg,"Pale grey, a double tressure white",Blackpool,,,,
Reach,House Sloane,https://awoiaf.westeros.org/index.php/File:House_Sloane.svg,"Per pale, white stars strewn on indigo, an orange sun on yellow",,,,,
Crownlands (origin); Riverlands (deposed),House Slynt of Harrenhal,https://awoiaf.westeros.org/index.php/File:House_Slynt.svg,"ï»¿A bloody spear, gold on black, with a border of checkered gold and blacï»¿kï»¿ï»¿ï»¿",Harrenhal,,Janos Slynt,,
Riverlands,House Smallwood of Acorn Hall,https://awoiaf.westeros.org/index.php/File:House_Smallwood.svg,"Six brown acorns, 3-2-1, on yellow",Acorn Hall,From These Beginnings,,,
Iron Islands,House Sparr of Great Wyk,https://awoiaf.westeros.org/index.php/File:House_Sparr.svg,Oak saltire on blue,Great Wyk,,Grey King,,
Westerlands,House Spicer of Castamere,https://awoiaf.westeros.org/index.php/File:House_Spicer.svg,"3 pepperpots on a saffron bend, upon green and silver stripes",Castamere,,A spice trader,,
Reach,House Stackhouse,https://awoiaf.westeros.org/index.php/File:None.svg,Unknown,,,,,
Westerlands,House Stackspear,https://awoiaf.westeros.org/index.php/File:House_Stackspear.svg,Crossed black spears on checkered silver and gold,,,,,
Stormlands,House Staedmon of Broad Arch,https://awoiaf.westeros.org/index.php/File:House_Staedmon.svg,A black dagger piercing a red heart on white de sang within an undulating red border,Broad Arch,,,,
North (Skagosi Clans),House Stane of Driftwood Hall,https://awoiaf.westeros.org/index.php/File:House_Stane.svg,"A driftwood tree, bare and brown, on pale green",Driftwood Hall,,,,
North,House Stark of Winterfell,https://awoiaf.westeros.org/index.php/File:House_Stark.svg,"A running grey direwolf, on an ice-white field",Winterfell,Winter is Coming,Bran the Builder,,Ice (split)
Crownlands,House Staunton of Rook's Rest,https://awoiaf.westeros.org/index.php/File:House_Staunton.svg,Two black wings upon a white fess on checkered black and grey,Rook's Rest,,,,
Crownlands,House Stokeworth of Stokeworth,https://awoiaf.westeros.org/index.php/File:House_Stokeworth.svg,A white lamb holding a golden goblet on green,Stokeworth,Proud to Be Faithful,,,
Iron Islands,House Stonehouse of Old Wyk,https://awoiaf.westeros.org/index.php/File:Stonehouse.png,A black brazier on a grey masonry field,Old Wyk,,Grey King,,
Iron Islands,House Stonetree of Harlaw,https://awoiaf.westeros.org/index.php/File:House_Stonetree.svg,"A bare stone tree, grey on black",Harlaw,,Grey King,,
